X,Y,Stazione d,Provincia,Regione,Lat.,Long.,Serie pres,5 minuti,10 minuti,15 minuti,20 minuti,30 minuti,1 ora,3 ore,6 ore,12 ore,24 ore,Minima dim,Massima di,Range seri,a,n,h_15min (m,h_60min (m,icon_url
7.2,45.82,St. Oyen (Buthier),Aosta,Valle d'Aosta,45.820000000000000,7.200000000000000,5,,,,,,x,x,x,x,x,10,10,1975-1989,20.480000000000000,0.452000000000000,46.094999999999999,20.478999999999999,./0.png
7.32,45.82,Valpelline (Buthier),Aosta,Valle d'Aosta,45.820000000000000,7.320000000000000,8,,x,x,,x,x,x,x,x,x,5,19,1929-1991,26.520000000000000,0.330000000000000,67.087999999999994,26.518999999999998,./0.png
7.14,45.71,Avise,Aosta,Valle d'Aosta,45.710000000000001,7.140000000000000,5,,,,,,x,x,x,x,x,6,6,1985-1991,13.529999999999999,0.542000000000000,30.449999999999999,13.528000000000000,./0.png
7.17,45.7,Arvier,Aosta,Valle d'Aosta,45.700000000000003,7.170000000000000,6,,x,,,,x,x,x,x,x,5,16,1955-1972,16.840000000000000,0.414000000000000,37.920000000000002,16.838999999999999,./0.png
7.24,45.7,Aymavilles,Aosta,Valle d'Aosta,45.700000000000003,7.240000000000000,7,,x,x,,,x,x,x,x,x,5,21,1958-1972,23.910000000000000,0.331000000000000,60.436000000000000,23.905000000000001,./0.png
7.32,45.73,Aosta,Aosta,Valle d'Aosta,45.729999999999997,7.320000000000000,8,,x,x,,x,x,x,x,x,x,6,43,1934-1991,26.820000000000000,0.305000000000000,70.299999999999997,26.821999999999999,./0.png
7.45,45.74,Saint - Marcel,Aosta,Valle d'Aosta,45.740000000000002,7.450000000000000,5,,,,,,x,x,x,x,x,19,19,1929-1963,21.579999999999998,0.498000000000000,48.573999999999998,21.579999999999998,./0.png
7.47,45.75,Nus - C.le,Aosta,Valle d'Aosta,45.750000000000000,7.470000000000000,6,,,,,x,x,x,x,x,x,5,17,1964-1988,21.899999999999999,0.389000000000000,51.109000000000002,21.899000000000001,./0.png
7.32,45.63,Sanfront,Aosta,Valle d'Aosta,45.630000000000003,7.320000000000000,8,,x,x,,x,x,x,x,x,x,9,28,1961-1991,45.250000000000000,0.433000000000000,99.256000000000000,45.253999999999998,./0.png
7.39,45.6,Lillaz (Grand'Eyvia),Aosta,Valle d'Aosta,45.600000000000001,7.390000000000000,9,,x,x,x,x,x,x,x,x,x,5,48,1929-1991,34.859999999999999,0.475000000000000,72.227999999999994,34.862000000000002,./0.png
8.44,45.13,Casale Monferrato - Ist. Piopp.,Alessandria,Piemonte,45.130000000000003,8.440000000000000,8,,x,x,,x,x,x,x,x,x,6,23,1952-1988,39.189999999999998,0.297000000000000,103.859999999999999,39.185000000000002,./0.png
